CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
30473,ACC,03210, 1C,"Module Five ... 
10-MAY to 04-JUL",Online,PRINCIPLES OF ACCTG I,"Marmon, Richard", ,Online,,3,30,0,0,2,28,0,0,0,
30474,ACC,03211, 1C,"Module Six ... 
05-JUL to 29-AUG",Online,PRINCIPLES OF ACCTG II,"Marmon, Richard", ,Online,,3,30,0,0,7,23,0,0,0,
30467,ACC,03300,  1,"Second Session ... 
31-MAY to 22-JUL",Day,SUPERVISED INTERNSHIP ACCT,"Isik, Ihsan",R       1600 1800 BUSN 101 (Class),Main,,3,20,0,0,1,19,0,0,0,40*
30469,ACC,03310,  1,"Second Session ... 
31-MAY to 22-JUL",Evening,INTERMEDIATE ACCTG I,"Sagedy, Robert Andrew",MW      1500 1730 BUSN 103 (Class),Main,,3,32,0,0,1,31,0,0,0,40
30470,ACC,03311,  1,"Second Session ... 
31-MAY to 22-JUL",Evening,INTERMEDIATE ACCTG II,STAFF,TR      1800 2030 BUSN 103 (Class),Main,,3,32,0,0,4,28,0,0,0,40
30475,ACC,03405, 1C,"Second Session ... 
31-MAY to 22-JUL",Online,"FOUNDATIONS OF ACCTG Non-Business majors only.
","Sagedy, Robert Andrew", ,Online,,3,32,0,0,5,27,0,0,0,
30471,ACC,03410,  1,"Second Session ... 
31-MAY to 22-JUL",Evening,AUDITING,"Honer, Joseph S",MW      1730 2000 BUSN 101 (Class),Main,,3,32,0,0,2,30,0,0,0,40
30476,ACC,03432, 1C,"Module Five ... 
10-MAY to 04-JUL",Online,FEDERAL TAXATION,"Marmon, Richard", ,Online,,3,30,0,0,9,21,0,0,0,
30522,ACC,03500, 1C,"Module Six ... 
05-JUL to 29-AUG",Online,MANAGERIAL ACCOUNTING,"Scarpa, Robert F", ,Online,,3,30,0,0,3,27,0,0,0,
30477,ACC,98300, 1C,"Second Session ... 
31-MAY to 22-JUL",Online,LAW FOR ACCOUNTANTS,"Hughes, Diane", ,Online,,3,30,0,0,2,28,0,0,0,
30680,ADV,04360, 1C,"Module Five ... 
10-MAY to 04-JUL",Online,INTEGRATED MARKETING COMM,"Fagan, Lisa Michelle", ,Online,,3,20,0,0,3,17,0,0,0,
30758,ADV,04360, OL,"Module Five ... 
10-MAY to 04-JUL",Online,"INTEGRATED MARKETING COMMRowan Global students only.
",STAFF, ,Online,,3,20,0,0,0,20,0,0,0,
30682,ADV,04375, 1C,"Module Five ... 
10-MAY to 04-JUL",Online,ADVERTISING COPYWRITING,"Johnson, Kristine C", ,Online,,3,20,0,0,3,17,0,0,0,
30684,ADV,04421, 1C,"Module Five ... 
10-MAY to 04-JUL",Online,ACCOUNT PLANNING,"Vilceanu, Marilena Olguta", ,Online,,3,20,0,0,1,19,0,0,0,
30706,AFST,11104,  1,"Fifth Session (ASCEND) ... 
05-JUL to 05-AUG",Day,INTRO TO AFRICANA STUDIES,STAFF,MTWR    0800 1000 BUSN 204 (Class),Main,,3,18,0,0,0,18,0,0,0,40
30707,AFST,11104,  2,"Fifth Session (ASCEND) ... 
05-JUL to 05-AUG",Day,INTRO TO AFRICANA STUDIES,STAFF,MTWR    1015 1215 BUSN 204 (Class),Main,,3,18,0,0,0,18,0,0,0,40
30491,AMST,13402,  1,"Second Session ... 
31-MAY to 22-JUL",Evening,SENIOR SEM AMER ST-WI,"Turner, Katherine Leonard",W       1700 1945 HAWTHN 204 (Class),Main,,3,15,0,0,0,15,0,0,0,30
